tarea_id,orden_id,taller_id,tarifa_hora_base,catalogo_tarea_id,nombre_tarea,minutos_estimados_base,subgrupo_id,subgrupo_nombre,tipo_reparacion_id,tipo_reparacion_nombre,marca,modelo,anio,kilometraje,duracion_real_minutos,horas_reales,coste_mano_obra,coste_repuestos,coste_total
10131,2068,4,55.00,256,"Sustitución de radiador",135,56,"Sustitución de radiador",11,"Sistema de refrigeración",Ford,Fiesta,2008,189879,165,2.75,151.25,213.33,364.58
10132,2068,4,55.00,203,"Sustitución de líquido de frenos",35,3,"Sustitución de líquido de frenos",1,Frenos,Ford,Fiesta,2008,189879,52,0.8667,47.67,18.56,66.23
10133,2069,4,55.00,230,"Diagnóstico electrónico de averías",60,30,"Diagnóstico electrónico de averías",5,"Sistema eléctrico",Peugeot,3008,2009,135087,65,1.0833,59.58,0,59.58
10134,2070,4,55.00,221,"Sustitución de amortiguadores",120,21,"Sustitución de amortiguadores",4,"Suspensión / Dirección",Hyundai,i30,2015,100669,83,1.3833,76.08,203.96,280.04
10135,2071,4,55.00,262,"Revisión 10.000 / 20.000 km",75,62,"Revisión 10.000 / 20.000 km",12,"Mantenimiento general / Otros",Fiat,500,2020,56313,65,1.0833,59.58,78.87,138.45
10136,2072,4,55.00,231,"Sustitución de fusibles y relés",22,31,"Sustitución de fusibles y relés",5,"Sistema eléctrico",Fiat,Tipo,2008,75058,17,0.2833,15.58,7.02,22.6
10137,2072,4,55.00,221,"Sustitución de amortiguadores",120,21,"Sustitución de amortiguadores",4,"Suspensión / Dirección",Fiat,Tipo,2008,75058,125,2.0833,114.58,217.02,331.6
10138,2073,4,55.00,235,"Sustitución de filtro de habitáculo",20,35,"Sustitución de filtro de habitáculo",6,"Aire acondicionado / climatización",Toyota,C-HR,2011,41522,20,0.3333,18.33,14.46,32.79
10139,2074,4,55.00,262,"Revisión 10.000 / 20.000 km",75,62,"Revisión 10.000 / 20.000 km",12,"Mantenimiento general / Otros",Opel,Crossland,2022,164552,54,0.9,49.5,71.65,121.15
10140,2075,4,55.00,252,"Sustitución de bomba de combustible",135,52,"Sustitución de bomba de combustible",10,"Sistema de combustible",Nissan,Micra,2011,46778,116,1.9333,106.33,157.53,263.86
10141,2075,4,55.00,248,"Montaje / equilibrado",37,48,"Montaje / equilibrado",9,"Neumáticos / ruedas",Nissan,Micra,2011,46778,37,0.6167,33.92,8.15,42.07
10142,2076,4,55.00,262,"Revisión 10.000 / 20.000 km",75,62,"Revisión 10.000 / 20.000 km",12,"Mantenimiento general / Otros",Kia,Ceed,2024,119286,69,1.15,63.25,72.84,136.09
10143,2077,4,55.00,239,"Sustitución de catalizador",120,39,"Sustitución de catalizador",7,Escape,Opel,Astra,2022,16701,108,1.8,99,300.33,399.33
10144,2077,4,55.00,262,"Revisión 10.000 / 20.000 km",75,62,"Revisión 10.000 / 20.000 km",12,"Mantenimiento general / Otros",Opel,Astra,2022,16701,83,1.3833,76.08,80.13,156.21
10145,2078,4,55.00,243,"Sustitución de puertas, paragolpes, capó",270,43,"Sustitución de puertas, paragolpes, capó",8,"Carrocería / pintura",Ford,Focus,2022,173606,338,5.6333,309.83,450.82,760.65
10146,2079,4,55.00,214,"Diagnóstico electrónico del motor",60,14,"Diagnóstico electrónico del motor",2,Motor,Fiat,500,2020,56313,82,1.3667,75.17,0,75.17
10147,2080,4,55.00,229,"Sustitución de luces",30,29,"Sustitución de luces",5,"Sistema eléctrico",Peugeot,2008,2016,18407,32,0.5333,29.33,37.04,66.37
10148,2080,4,55.00,235,"Sustitución de filtro de habitáculo",20,35,"Sustitución de filtro de habitáculo",6,"Aire acondicionado / climatización",Peugeot,2008,2016,18407,13,0.2167,11.92,14.29,26.21
10149,2081,4,55.00,247,"Sustitución de neumáticos",45,47,"Sustitución de neumáticos",9,"Neumáticos / ruedas",Volkswagen,T-Roc,2014,154041,42,0.7,38.5,487.48,525.98
